date,US 10yr bond,UK 10yr bond
2001-10-29,4.48,4.639
2001-10-30,4.41,4.563
2001-10-31,4.232,4.533
2001-11-01,4.24,4.451
2001-11-02,4.358,4.502
2001-11-05,4.296,4.436
2001-11-06,4.256,4.431
2001-11-07,4.178,4.392
2001-11-08,4.286,4.414
2001-11-09,4.303,4.394
2001-11-12,4.303,4.384
2001-11-13,4.378,4.498
2001-11-14,4.539,4.572
2001-11-15,4.762,4.67
2001-11-16,4.843,4.679
2001-11-19,4.798,4.663
2001-11-20,4.863,4.658
2001-11-21,5.013,4.72
2001-11-22,4.966,4.722
2001-11-23,4.987,4.704
2001-11-26,5.015,4.673
2001-11-27,4.919,4.777
2001-11-28,4.925,4.717
2001-11-29,4.756,4.688
2001-11-30,4.752,4.655
2001-12-03,4.687,4.626
2001-12-04,4.66,4.621
2001-12-05,4.893,4.762
2001-12-06,5.013,4.849
2001-12-07,5.167,4.974
2001-12-10,5.098,4.943
2001-12-11,5.051,4.905
2001-12-12,5.005,4.793
2001-12-13,5.073,4.808
2001-12-14,5.188,4.813
2001-12-17,5.186,4.874
2001-12-18,5.121,4.867
2001-12-19,5.047,4.826
2001-12-20,5.03,4.844
2001-12-21,5.084,4.891
2001-12-24,5.136,4.847
2001-12-25,5.136,4.849
2001-12-26,5.199,4.849
2001-12-27,5.065,4.992
2001-12-28,5.113,5.031
2001-12-31,5.051,5.054
2002-01-01,5.032,5.055
2002-01-02,5.16,4.994
2002-01-03,5.111,4.952
2002-01-04,5.128,4.993
2002-01-07,5.049,4.915
2002-01-08,5.08,4.916
2002-01-09,5.051,4.967
2002-01-10,4.979,4.916
2002-01-11,4.866,4.903
2002-01-14,4.876,4.849
2002-01-15,4.835,4.854
2002-01-16,4.839,4.816
2002-01-17,4.925,4.83
2002-01-18,4.894,4.858
2002-01-21,4.892,4.814
2002-01-22,4.919,4.857
2002-01-23,5.029,4.836
2002-01-24,5.008,4.92
2002-01-25,5.071,5.013
2002-01-28,5.073,5.013
2002-01-29,4.942,4.983
2002-01-30,5.014,4.934
2002-01-31,5.033,4.887
2002-02-01,4.985,4.869
2002-02-04,4.902,4.824
2002-02-05,4.894,4.792
2002-02-06,4.923,4.824
2002-02-07,4.939,4.958
2002-02-08,4.879,4.945
2002-02-11,4.907,4.952
2002-02-12,4.975,5.032
2002-02-13,4.987,5.033
2002-02-14,4.945,4.998
2002-02-15,4.875,4.924
2002-02-18,4.863,4.921
2002-02-19,4.873,4.942
2002-02-20,4.889,4.962
2002-02-21,4.853,4.985
2002-02-22,4.831,4.936
2002-02-25,4.849,4.957
2002-02-26,4.927,4.993
2002-02-27,4.833,4.987
2002-02-28,4.877,4.994
2002-03-01,4.981,5.046
2002-03-04,4.999,5.053
2002-03-05,5.001,5.116
2002-03-06,5.052,5.162
2002-03-07,5.227,5.224
2002-03-08,5.325,5.215
2002-03-11,5.323,5.188
2002-03-12,5.31,5.192
2002-03-13,5.279,5.222
2002-03-14,5.409,5.261
2002-03-15,5.327,5.251
2002-03-18,5.3,5.234
2002-03-19,5.286,5.243
2002-03-20,5.406,5.273
2002-03-21,5.365,5.3
2002-03-22,5.404,5.309
2002-03-25,5.408,5.329
2002-03-26,5.343,5.298
2002-03-27,5.341,5.232
2002-03-28,5.4,5.294
2002-03-29,5.396,5.293
2002-04-01,5.425,5.295
2002-04-02,5.341,5.292
2002-04-03,5.278,5.232
2002-04-04,5.258,5.179
2002-04-05,5.206,5.193
2002-04-08,5.262,5.207
2002-04-09,5.202,5.223
2002-04-10,5.233,5.24
2002-04-11,5.206,5.181
2002-04-12,5.156,5.181
2002-04-15,5.138,5.148
2002-04-16,5.192,5.226
2002-04-17,5.233,5.227
2002-04-18,5.198,5.259
2002-04-19,5.198,5.269
2002-04-22,5.178,5.226
2002-04-23,5.163,5.263
2002-04-24,5.113,5.232
2002-04-25,5.095,5.174
2002-04-26,5.056,5.139
2002-04-29,5.122,5.194
2002-04-30,5.087,5.189
2002-05-01,5.06,5.153
2002-05-02,5.095,5.221
2002-05-03,5.056,5.169
2002-05-06,5.066,5.167
2002-05-07,5.056,5.158
2002-05-08,5.218,5.207
2002-05-09,5.164,5.246
2002-05-10,5.118,5.26
2002-05-13,5.223,5.268
2002-05-14,5.278,5.308
2002-05-15,5.246,5.307
2002-05-16,5.169,5.299
2002-05-17,5.253,5.338
2002-05-20,5.2,5.265
2002-05-21,5.15,5.259
2002-05-22,5.115,5.249
2002-05-23,5.15,5.246
2002-05-24,5.145,5.238
2002-05-27,5.138,5.298
2002-05-28,5.13,5.267
2002-05-29,5.063,5.25
2002-05-30,5.022,5.236
2002-05-31,5.045,5.253
2002-06-03,4.999,5.257
2002-06-04,5.028,5.257
2002-06-05,5.049,5.221
2002-06-06,4.977,5.215
2002-06-07,5.068,5.218
2002-06-10,5.028,5.198
2002-06-11,4.975,5.214
2002-06-12,4.964,5.197
2002-06-13,4.901,5.083
2002-06-14,4.799,5.015
2002-06-17,4.846,5.023
2002-06-18,4.835,4.999
2002-06-19,4.728,4.972
2002-06-20,4.791,5.011
2002-06-21,4.768,5.027
2002-06-24,4.829,4.959
2002-06-25,4.819,5.031
2002-06-26,4.744,4.946
2002-06-27,4.823,4.949
2002-06-28,4.799,5.006
2002-07-01,4.782,5.01
2002-07-02,4.727,4.998
2002-07-03,4.766,5.013
2002-07-04,4.764,5.038
2002-07-05,4.856,5.093
2002-07-08,4.796,5.104
2002-07-09,4.727,5.1
2002-07-10,4.614,5.041
2002-07-11,4.638,4.967
2002-07-12,4.574,4.934
2002-07-15,4.628,4.899
2002-07-16,4.682,4.905
2002-07-17,4.684,4.966
2002-07-18,4.608,4.948
2002-07-19,4.521,4.904
2002-07-22,4.446,4.878
2002-07-23,4.408,4.899
2002-07-24,4.487,4.819
2002-07-25,4.382,4.844
2002-07-26,4.384,4.845
2002-07-29,4.563,4.9
2002-07-30,4.587,4.892
2002-07-31,4.461,4.856
2002-08-01,4.391,4.798
2002-08-02,4.292,4.762
2002-08-05,4.21,4.666
2002-08-06,4.333,4.714
2002-08-07,4.306,4.639
2002-08-08,4.396,4.668
2002-08-09,4.257,4.642
2002-08-12,4.217,4.616
2002-08-13,4.087,4.599
2002-08-14,4.121,4.531
2002-08-15,4.182,4.659
2002-08-16,4.326,4.671
2002-08-19,4.286,4.676
2002-08-20,4.149,4.638
2002-08-21,4.201,4.703
2002-08-22,4.319,4.745
2002-08-23,4.235,4.707
2002-08-26,4.226,4.711
2002-08-27,4.283,4.699
2002-08-28,4.214,4.622
2002-08-29,4.139,4.599
2002-08-30,4.143,4.617
2002-09-02,4.135,4.553
2002-09-03,3.965,4.474
2002-09-04,3.963,4.468
2002-09-05,3.927,4.463
2002-09-06,4.013,4.445
2002-09-09,4.06,4.457
2002-09-10,3.996,4.516
2002-09-11,4.06,4.567
2002-09-12,3.962,4.51
2002-09-13,3.907,4.492
2002-09-16,3.914,4.43
2002-09-17,3.819,4.458
2002-09-18,3.843,4.414
2002-09-19,3.778,4.365
2002-09-20,3.787,4.418
2002-09-23,3.696,4.386
2002-09-24,3.646,4.37
2002-09-25,3.749,4.417
2002-09-26,3.766,4.44
2002-09-27,3.66,4.443
2002-09-30,3.596,4.371
2002-10-01,3.717,4.398
2002-10-02,3.669,4.456
2002-10-03,3.685,4.485
2002-10-04,3.666,4.499
2002-10-07,3.615,4.43
2002-10-08,3.635,4.424
2002-10-09,3.569,4.412
2002-10-10,3.658,4.491
2002-10-11,3.78,4.53
2002-10-14,3.787,4.553
2002-10-15,3.995,4.655
2002-10-16,4.05,4.686
2002-10-17,4.202,4.662
2002-10-18,4.107,4.673
2002-10-21,4.253,4.677
2002-10-22,4.26,4.735
2002-10-23,4.233,4.668
2002-10-24,4.117,4.702
2002-10-25,4.093,4.662
2002-10-28,4.087,4.623
2002-10-29,3.94,4.577
2002-10-30,3.963,4.601
